Vector(Upload: 0.76 Mbit/s, Download: 1.18 Mbit/s, Sun Mar  8 06:49:40 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 145.254 ms)
Vector(Upload: 40.10 Mbit/s, Download: 80.29 Mbit/s, Sun Mar  8 06:50:52 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Far Eastone Telecommunications Co., Ltd. (New Taipei) [802.48 km]: 95.012 ms)
Vector(Upload: 4.93 Mbit/s, Download: 18.09 Mbit/s, Sun Mar  8 06:51:59 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 272.485 ms)
Vector(Upload: 11.35 Mbit/s, Download: 46.03 Mbit/s, Sun Mar  8 07:23:27 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Digital Pacific (Sydney) [7372.57 km]: 307.214 ms)
Vector(Upload: 23.38 Mbit/s, Download: 93.27 Mbit/s, Sun Mar  8 07:25:09 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 15.877 ms)
Vector(Upload: 5.44 Mbit/s, Download: 13.65 Mbit/s, Sun Mar  8 07:26:05 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 335.926 ms)
Vector(Upload: 6.60 Mbit/s, Download: 32.42 Mbit/s, Sun Mar  8 07:27:21 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 321.097 ms)
Vector(Upload: 0.74 Mbit/s, Download: 1.99 Mbit/s, Sun Mar  8 07:58:34 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 3370.658 ms)
Vector(Upload: 31.31 Mbit/s, Download: 68.51 Mbit/s, Sun Mar  8 08:00:04 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Far Eastone Telecommunications Co., Ltd. (New Taipei) [802.48 km]: 46.441 ms)
Vector(Upload: 6.03 Mbit/s, Download: 16.32 Mbit/s, Sun Mar  8 08:01:38 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 324.878 ms)
Vector(Upload: 9.95 Mbit/s, Download: 48.58 Mbit/s, Sun Mar  8 08:33:03 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Vodafone Hutchison Australia (SD) (Sydney) [7372.57 km]: 215.509 ms)
Vector(Upload: 17.93 Mbit/s, Download: 65.98 Mbit/s, Sun Mar  8 08:35:03 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 15.983 ms)
Vector(Upload: 2.98 Mbit/s, Download: 14.76 Mbit/s, Sun Mar  8 08:35:53 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 329.766 ms)
